GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
241,356.7,12295.45,16526.99,-13842.17,8324.24,6408.78,-12783.8,-115013.82,437.82,17286.2,-114576.0,-97289.8
242,328.46,12216.43,16432.28,-13729.78,7827.4,6453.71,-12727.22,-114659.97,437.33,16801.28,-114222.63,-97421.35
243,347.67,12334.8,16511.95,-13782.23,8624.37,6403.74,-12836.26,-115397.16,435.7,17604.05,-114961.46,-97357.41
244,354.0,12329.08,16503.34,-13831.41,8084.85,6444.01,-12726.14,-114917.03,436.6,17157.74,-114480.42,-97322.68
245,335.81,12221.61,16550.86,-13896.47,8276.11,6455.88,-12699.33,-115152.01,432.99,17244.46,-114719.02,-97474.56
246,370.32,12291.7,16472.19,-13850.24,8345.9,6415.47,-12863.99,-115068.34,436.06,17181.36,-114632.28,-97450.92
247,361.13,12430.03,16519.33,-13790.09,8566.83,6420.61,-12817.03,-115421.85,437.95,17690.81,-114983.9,-97293.09
248,328.85,12223.02,16494.72,-13713.91,8037.36,6452.98,-12588.74,-114980.77,437.77,17234.29,-114543.01,-97308.72
249,352.74,12389.95,16580.05,-13836.5,8528.18,6397.02,-12738.24,-115181.99,432.6,17673.19,-114749.39,-97076.2
250,388.99,12474.33,16529.03,-13791.95,7995.48,6451.29,-12896.49,-114660.18,436.23,17150.69,-114223.95,-97073.26
251,361.06,12245.03,16539.18,-13901.14,8301.33,6488.97,-12894.59,-114871.73,434.68,17139.85,-114437.05,-97297.21
252,359.96,12394.17,16526.55,-13865.98,8496.25,6425.74,-12767.6,-115195.06,432.8,17569.08,-114762.26,-97193.18
253,424.67,12446.18,16494.93,-13817.07,8257.17,6405.53,-12952.28,-114863.15,433.42,17259.13,-114429.73,-97170.59
254,363.48,12168.78,16560.34,-13918.21,8364.96,6424.55,-12724.26,-115125.73,434.16,17239.64,-114691.57,-97451.92
255,331.61,12212.39,16520.61,-13835.99,7966.75,6398.87,-12895.46,-114585.8,435.4,16698.76,-114150.41,-97451.65
256,345.13,12379.54,16546.31,-13774.47,8090.04,6501.07,-12827.43,-114785.14,435.48,17260.2,-114349.66,-97089.46
257,366.5,12262.91,16595.97,-13878.8,8343.24,6431.98,-12793.99,-114955.15,436.86,17327.81,-114518.29,-97190.47
258,328.5,12164.61,16509.07,-13839.56,8609.61,6420.95,-12771.92,-115350.86,437.56,17421.25,-114913.3,-97492.04
