GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
241,336.06,12296.33,16511.67,-13978.39,1972.6,6411.6,-12679.68,-108603.18,424.28,10870.19,-108178.9,-97308.71
242,311.08,12209.84,16522.39,-13958.27,1419.81,6437.61,-12503.66,-108318.58,422.04,10438.8,-107896.53,-97457.73
243,351.8,12281.99,16475.45,-13842.16,1767.81,6466.03,-12650.58,-108643.0,424.74,10850.34,-108218.26,-97367.92
244,324.18,12499.86,16485.76,-13924.61,1876.59,6396.06,-12766.89,-108483.19,423.43,10890.95,-108059.76,-97168.81
245,335.76,12333.01,16511.35,-13624.74,1616.82,6411.27,-12624.88,-108314.82,422.85,10958.6,-107891.97,-96933.38
246,367.22,12334.51,16506.87,-13926.03,1368.48,6432.09,-12652.74,-108143.32,424.3,10430.4,-107719.02,-97288.61
247,330.59,12331.08,16530.88,-12193.82,994.97,6422.02,-12708.02,-107640.14,425.25,11707.7,-107214.89,-95507.18
248,330.26,12449.67,16495.05,-13990.84,1161.77,6401.87,-12616.87,-107940.16,421.8,10230.9,-107518.36,-97287.47
249,342.71,12381.37,16493.68,-13947.47,1383.81,6393.2,-12677.35,-108058.45,422.56,10369.96,-107635.88,-97265.93
250,345.85,12385.79,16466.45,-13972.73,1494.77,6429.66,-12547.66,-108255.72,422.66,10602.13,-107833.06,-97230.93
251,368.49,12410.17,16494.29,-13836.72,1164.24,6411.41,-12708.16,-108008.9,425.2,10303.73,-107583.7,-97279.97
252,328.98,12302.27,16549.61,-13912.13,1411.87,6375.46,-12762.56,-108094.83,423.61,10293.5,-107671.22,-97377.72
253,350.99,12529.35,16544.74,-14017.21,917.86,6402.87,-12639.17,-107717.85,421.27,10089.43,-107296.58,-97207.15
254,353.31,12311.44,16451.28,-13902.66,891.63,6437.28,-12750.83,-107601.63,423.49,9791.46,-107178.14,-97386.68
255,349.36,12491.62,16468.06,-14002.84,1230.18,6378.12,-12687.23,-107902.32,422.71,10227.27,-107479.61,-97252.34
256,351.15,12402.22,16477.63,-13881.18,2063.1,6436.49,-12683.46,-108795.54,424.84,11165.93,-108370.71,-97204.77
257,361.48,12426.33,16521.54,-13889.62,1785.3,6414.96,-12708.1,-108444.49,425.66,10911.88,-108018.83,-97106.95
258,366.25,12262.87,16569.71,-13948.35,2341.6,6424.24,-12663.66,-108928.95,427.03,11352.65,-108501.92,-97149.27
259,343.0,12419.97,16567.31,-13877.72,2813.26,6412.28,-12731.19,-109454.41,428.01,11946.92,-109026.39,-97079.48
260,341.42,12397.33,16489.36,-13942.75,1858.58,6392.49,-12643.72,-108617.16,427.05,10892.69,-108190.11,-97297.42
261,335.01,12349.79,16493.67,-14007.3,1877.29,6380.15,-12664.04,-108543.54,422.79,10764.57,-108120.75,-97356.19
